Date,Description,Category,Amount,Account
2024-01-23,Spotify,Entertainment,-9.99,Credit Card
2024-01-24,Target,Shopping,-90.45,Checking
2024-01-24,Salary,Income,2500.00,Checking
2024-01-25,McDonalds,Food,-9.99,Checking
2024-01-25,Transfer,Investment,-300.00,Checking
2024-01-26,Amazon,Shopping,-42.49,Checking
2024-01-26,Uber,Transport,-16.50,Checking
2024-01-27,Whole Foods,Groceries,-66.20,Checking
2024-01-27,Netflix,Entertainment,-15.99,Credit Card
2024-01-28,Apple Store,Electronics,-249.99,Credit Card
2024-01-28,Transfer,Savings,-600.00,Checking
2024-01-29,Shell,Gas,-44.00,Checking
2024-01-29,Spotify,Entertainment,-9.99,Credit Card
2024-01-30,Target,Shopping,-130.45,Checking
2024-01-30,Salary,Income,2500.00,Checking
2024-01-31,McDonalds,Food,-5.99,Checking
2024-01-31,Transfer,Investment,-100.00,Checking
2024-02-01,Amazon,Shopping,-25.49,Checking
2024-02-01,Uber,Transport,-13.50,Checking
2024-02-02,Trader Joe's,Groceries,-60.30,Checking
2024-02-02,Disney+,Entertainment,-7.99,Credit Card
2024-02-03,Apple Store,Electronics,-179.99,Credit Card
2024-02-03,Transfer,Savings,-450.00,Checking
2024-02-04,Shell,Gas,-41.00,Checking
2024-02-04,Spotify,Entertainment,-9.99,Credit Card
2024-02-05,Target,Shopping,-100.45,Checking
2024-02-05,Salary,Income,2500.00,Checking
2024-02-06,McDonalds,Food,-8.49,Checking
2024-02-06,Transfer,Investment,-180.00,Checking
2024-02-07,Amazon,Shopping,-18.49,Checking
2024-02-07,Uber,Transport,-11.50,Checking
2024-02-08,Whole Foods,Groceries,-70.20,Checking
2024-02-08,Netflix,Entertainment,-15.99,Credit Card
2024-02-09,Apple Store,Electronics,-129.99,Credit Card
2024-02-09,Transfer,Savings,-550.00,Checking
2024-02-10,Shell,Gas,-39.00,Checking
2024-02-10,Spotify,Entertainment,-9.99,Credit Card
2024-02-11,Target,Shopping,-140.45,Checking
2024-02-11,Salary,Income,2500.00,Checking
2024-02-12,McDonalds,Food,-7.49,Checking
2024-02-12,Transfer,Investment,-220.00,Checking
2024-02-13,Amazon,Shopping,-28.49,Checking
2024-02-13,Uber,Transport,-17.50,Checking
2024-02-14,Trader Joe's,Groceries,-58.30,Checking
2024-02-14,Disney+,Entertainment,-7.99,Credit Card
2024-02-15,Apple Store,Electronics,-159.99,Credit Card
2024-02-15,Transfer,Savings,-650.00,Checking
2024-02-16,Shell,Gas,-43.00,Checking
2024-02-16,Spotify,Entertainment,-9.99,Credit Card
2024-02-17,Target,Shopping,-150.45,Checking
2024-02-17,Salary,Income,2500.00,Checking
2024-02-18,McDonalds,Food,-6.49,Checking
2024-02-18,Transfer,Investment,-170.00,Checking
2024-02-19,Amazon,Shopping,-38.49,Checking
2024-02-19,Uber,Transport,-15.50,Checking
2024-02-20,Whole Foods,Groceries,-80.20,Checking
2024-02-20,Netflix,Entertainment,-15.99,Credit Card
2024-02-21,Apple Store,Electronics,-189.99,Credit Card
2024-02-21,Transfer,Savings,-700.00,Checking
2024-02-22,Shell,Gas,-45.00,Checking
2024-02-22,Spotify,Entertainment,-9.99,Credit Card
2024-02-23,Target,Shopping,-160.45,Checking
2024-02-23,Salary,Income,2500.00,Checking
2024-02-24,McDonalds,Food,-9.49,Checking
2024-02-24,Transfer,Investment,-190.00,Checking
2024-02-25,Amazon,Shopping,-48.49,Checking
2024-02-25,Uber,Transport,-19.50,Checking
2024-02-26,Trader Joe's,Groceries,-68.30,Checking
2024-02-26,Disney+,Entertainment,-7.99,Credit Card
2024-02-27,Apple Store,Electronics,-219.99,Credit Card
2024-02-27,Transfer,Savings,-800.00,Checking
2024-02-28,Shell,Gas,-47.00,Checking
2024-02-28,Spotify,Entertainment,-9.99,Credit Card
2024-02-29,Target,Shopping,-170.45,Checking
2024-02-29,Salary,Income,2500.00,Checking
2024-03-01,McDonalds,Food,-8.49,Checking
2024-03-01,Transfer,Investment,-210.00,Checking
2024-03-02,Amazon,Shopping,-58.49,Checking
2024-03-02,Uber,Transport,-21.50,Checking
2024-03-03,Whole Foods,Groceries,-90.20,Checking
2024-03-03,Netflix,Entertainment,-15.99,Credit Card
2024-03-04,Apple Store,Electronics,-239.99,Credit Card
2024-03-04,Transfer,Savings,-900.00,Checking
2024-03-05,Shell,Gas,-49.00,Checking
2024-03-05,Spotify,Entertainment,-9.99,Credit Card
2024-03-06,Target,Shopping,-180.45,Checking
2024-03-06,Salary,Income,2500.00,Checking
2024-03-07,McDonalds,Food,-7.49,Checking
2024-03-07,Transfer,Investment,-230.00,Checking
2024-03-08,Amazon,Shopping,-68.49,Checking
2024-03-08,Uber,Transport,-23.50,Checking
2024-03-09,Trader Joe's,Groceries,-78.30,Checking
2024-03-09,Disney+,Entertainment,-7.99,Credit Card
2024-03-10,Apple Store,Electronics,-259.99,Credit Card
2024-03-10,Transfer,Savings,-1000.00,Checking
2024-03-11,Shell,Gas,-51.00,Checking
2024-03-11,Spotify,Entertainment,-9.99,Credit Card
2024-03-12,Target,Shopping,-190.45,Checking
2024-03-12,Salary,Income,2500.00,Checking
2024-03-13,McDonalds,Food,-6.49,Checking
2024-03-13,Transfer,Investment,-250.00,Checking
2024-03-14,Amazon,Shopping,-78.49,Checking
2024-03-14,Uber,Transport,-25.50,Checking
2024-03-15,Whole Foods,Groceries,-100.20,Checking
2024-03-15,Netflix,Entertainment,-15.99,Credit Card
2024-03-16,Apple Store,Electronics,-279.99,Credit Card
2024-03-16,Transfer,Savings,-1100.00,Checking
2024-03-17,Shell,Gas,-53.00,Checking
2024-03-17,Spotify,Entertainment,-9.99,Credit Card
2024-03-18,Target,Shopping,-200.45,Checking
2024-03-18,Salary,Income,2500.00,Checking
2024-03-19,McDonalds,Food,-9.49,Checking
2024-03-19,Transfer,Investment,-270.00,Checking
2024-03-20,Amazon,Shopping,-88.49,Checking
2024-03-20,Uber,Transport,-27.50,Checking
2024-03-21,Trader Joe's,Groceries,-88.30,Checking
2024-03-21,Disney+,Entertainment,-7.99,Credit Card
2024-03-22,Apple Store,Electronics,-299.99,Credit Card
2024-03-22,Transfer,Savings,-1200.00,Checking
2024-03-23,Shell,Gas,-55.00,Checking
2024-03-23,Spotify,Entertainment,-9.99,Credit Card
2024-03-24,Target,Shopping,-210.45,Checking
2024-03-24,Salary,Income,2500.00,Checking
2024-03-25,McDonalds,Food,-8.49,Checking
2024-03-25,Transfer,Investment,-290.00,Checking
2024-03-26,Amazon,Shopping,-98.49,Checking
2024-03-26,Uber,Transport,-29.50,Checking
2024-03-27,Whole Foods,Groceries,-110.20,Checking
2024-03-27,Netflix,Entertainment,-15.99,Credit Card
2024-03-28,Apple Store,Electronics,-319.99,Credit Card
2024-03-28,Transfer,Savings,-1300.00,Checking
2024-03-29,Shell,Gas,-57.00,Checking
2024-03-29,Spotify,Entertainment,-9.99,Credit Card
2024-03-30,Target,Shopping,-220.45,Checking
2024-03-30,Salary,Income,2500.00,Checking
2024-03-31,McDonalds,Food,-7.49,Checking
2024-03-31,Transfer,Investment,-310.00,Checking
